,name,sportsref_url,school,avg_min,avg_pts,total_min,total_pts,transfer
0,Matt Bradley,https://www.sports-reference.com/cbb/players/matt-bradley-1.html,San Diego State,26.5,12.6,1032,491,False
1,Darrion Trammell,https://www.sports-reference.com/cbb/players/darrion-trammell-1.html,San Diego State,27.2,9.8,1034,373,True
2,Lamont Butler,https://www.sports-reference.com/cbb/players/lamont-butler-1.html,San Diego State,25.9,8.8,1012,345,False
3,Jaedon Ledee,https://www.sports-reference.com/cbb/players/jaedon-ledee-1.html,San Diego State,18.1,7.9,704,309,False
4,Keshad Johnson,https://www.sports-reference.com/cbb/players/keshad-johnson-1.html,San Diego State,22.2,7.7,865,300,False
5,Micah Parrish,https://www.sports-reference.com/cbb/players/micah-parrish-1.html,San Diego State,21.5,7.4,837,290,True
6,Nathan Mensah,https://www.sports-reference.com/cbb/players/nathan-mensah-1.html,San Diego State,20.8,6.0,811,234,False
7,Adam Seiko,https://www.sports-reference.com/cbb/players/adam-seiko-1.html,San Diego State,19.9,5.8,738,215,False
8,Aguek Arop,https://www.sports-reference.com/cbb/players/aguek-arop-1.html,San Diego State,16.1,4.5,596,167,False
9,Miles Byrd,https://www.sports-reference.com/cbb/players/miles-byrd-1.html,San Diego State,10.0,4.3,40,17,False
10,Demarshay Johnson,https://www.sports-reference.com/cbb/players/demarshay-johnsonjr-1.html,San Diego State,3.4,0.9,31,8,False
11,Elijah Saunders,https://www.sports-reference.com/cbb/players/elijah-saunders-1.html,San Diego State,5.8,0.9,93,14,False
12,Cade Alger,https://www.sports-reference.com/cbb/players/cade-alger-1.html,San Diego State,1.9,0.7,17,6,False
13,Jared Barnett,https://www.sports-reference.com/cbb/players/jared-barnett-1.html,San Diego State,2.7,0.6,27,6,False
14,Triston Broughton,https://www.sports-reference.com/cbb/players/triston-broughton-1.html,San Diego State,1.3,0.0,5,0,False
15,Tyler Broughton,https://www.sports-reference.com/cbb/players/tyler-broughton-1.html,San Diego State,1.5,0.0,9,0,False
16,Adama Sanogo,https://www.sports-reference.com/cbb/players/adama-sanogo-1.html,UConn,26.5,17.2,1035,671,False
17,Jordan Hawkins,https://www.sports-reference.com/cbb/players/jordan-hawkins-1.html,UConn,29.4,16.2,1086,598,False
18,Tristen Newton,https://www.sports-reference.com/cbb/players/tristen-newton-1.html,UConn,28.8,10.1,1123,392,True
19,Alex Karaban,https://www.sports-reference.com/cbb/players/alex-karaban-1.html,UConn,28.9,9.3,1128,364,False
20,Donovan Clingan,https://www.sports-reference.com/cbb/players/donovan-clingan-1.html,UConn,13.1,6.9,511,269,False
21,Andre Jackson,https://www.sports-reference.com/cbb/players/andre-jackson-8.html,UConn,29.1,6.7,1048,240,False
22,Joey Calcaterra,https://www.sports-reference.com/cbb/players/joey-calcaterra-1.html,UConn,14.5,5.8,550,219,True
23,Nahiem Alleyne,https://www.sports-reference.com/cbb/players/nahiem-alleyne-1.html,UConn,18.0,5.2,701,201,True
24,Hassan Diarra,https://www.sports-reference.com/cbb/players/hassan-diarra-1.html,UConn,12.6,2.1,455,76,True
25,Samson Johnson,https://www.sports-reference.com/cbb/players/samson-johnson-1.html,UConn,3.9,0.9,47,11,False
26,Richie Springs,https://www.sports-reference.com/cbb/players/richie-springs-1.html,UConn,2.1,0.8,39,15,False
