,school,round,sportsref_url,percent_minutes_return_21_22,percent_scoring_return_21_22,num_transfers,avg_transfer_mins_p_game,avg_transfer_pts_p_game,avg_transfer_mins_total,avg_transfer_pts_total
0,San Diego State,2,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2023.html,67.2,68.9,2,24.35,8.600000000000001,935.5,331.5
1,UConn,2,https://www.sports-reference.com/cbb/schools/connecticut/men/2023.html,34.4,34.0,4,18.474999999999998,5.8,707.25,222.0
2,Florida Atlantic,4,https://www.sports-reference.com/cbb/schools/florida-atlantic/men/2023.html,77.5,82.1,2,14.0,3.05,496.5,104.5
3,Miami (FL),4,https://www.sports-reference.com/cbb/schools/miami-fl/men/2023.html,49.8,46.5,2,30.200000000000003,13.35,1086.5,481.5
4,Gonzaga,8,https://www.sports-reference.com/cbb/schools/gonzaga/men/2023.html,68.3,68.7,2,12.7,5.3999999999999995,442.5,187.0
5,Arkansas,16,https://www.sports-reference.com/cbb/schools/arkansas/men/2023.html,16.6,13.0,5,20.68,8.740000000000002,574.2,241.8
6,UCLA,16,https://www.sports-reference.com/cbb/schools/ucla/men/2023.html,46.8,47.2,0,0.0,0.0,0.0,0.0
7,Kansas,32,https://www.sports-reference.com/cbb/schools/kansas/men/2023.html,37.0,25.9,1,30.6,10.7,1042.0,364.0
8,Saint Mary's,32,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2023.html,57.6,49.9,0,0.0,0.0,0.0,0.0
9,TCU,32,https://www.sports-reference.com/cbb/schools/texas-christian/men/2023.html,89.4,92.5,2,7.550000000000001,1.0999999999999999,198.0,29.5
10,Northwestern,32,https://www.sports-reference.com/cbb/schools/northwestern/men/2023.html,58.3,55.8,1,15.8,2.4,536.0,81.0
11,Howard,64,https://www.sports-reference.com/cbb/schools/howard/men/2023.html,46.8,47.2,5,14.919999999999998,5.58,431.2,162.6
12,Illinois,64,https://www.sports-reference.com/cbb/schools/illinois/men/2023.html,16.5,13.9,3,26.400000000000002,13.066666666666668,850.3333333333334,420.6666666666667
13,VCU,64,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/men/2023.html,41.4,36.1,3,21.5,7.766666666666667,743.0,268.0
14,Iona,64,https://www.sports-reference.com/cbb/schools/iona/men/2023.html,47.1,46.5,1,9.5,4.2,304.0,133.0
15,Arizona State,64,https://www.sports-reference.com/cbb/schools/arizona-state/men/2023.html,48.8,40.4,4,27.549999999999997,10.575,957.25,367.25
16,Grand Canyon,64,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2023.html,55.9,55.3,4,20.375,8.3,669.0,280.0
17,Boise State,64,https://www.sports-reference.com/cbb/schools/boise-state/men/2023.html,54.1,50.7,2,17.6,6.65,553.0,212.5
18,UNC Asheville,64,https://www.sports-reference.com/cbb/schools/north-carolina-asheville/men/2023.html,63.2,62.0,5,14.74,4.319999999999999,459.2,135.6
19,Creighton,8,https://www.sports-reference.com/cbb/schools/creighton/men/2023.html,54.9,56.2,2,24.200000000000003,7.9,872.5,287.0
20,Alabama,16,https://www.sports-reference.com/cbb/schools/alabama/men/2023.html,40.7,41.0,2,19.45,7.25,642.0,251.5
21,Princeton,16,https://www.sports-reference.com/cbb/schools/princeton/men/2023.html,45.2,42.9,0,0.0,0.0,0.0,0.0
22,Maryland,32,https://www.sports-reference.com/cbb/schools/maryland/men/2023.html,46.8,43.3,4,20.950000000000003,7.025000000000001,718.75,244.5
23,Furman,32,https://www.sports-reference.com/cbb/schools/furman/men/2023.html,68.1,70.0,1,12.3,2.5,358.0,73.0
24,Baylor,32,https://www.sports-reference.com/cbb/schools/baylor/men/2023.html,48.7,47.3,2,19.75,6.75,671.5,229.0
25,Missouri,32,https://www.sports-reference.com/cbb/schools/missouri/men/2023.html,31.5,32.9,10,17.95,6.869999999999999,544.9,209.5
26,Texas A&M-Corpus Christi,64,https://www.sports-reference.com/cbb/schools/texas-am-corpus-christi/men/2023.html,84.5,85.2,2,13.1,5.5,414.5,176.5
27,West Virginia,64,https://www.sports-reference.com/cbb/schools/west-virginia/men/2023.html,17.1,11.5,6,22.733333333333334,9.266666666666666,752.8333333333334,307.1666666666667
28,College of Charleston,64,https://www.sports-reference.com/cbb/schools/college-of-charleston/men/2023.html,46.5,40.4,4,23.425,9.2,819.25,322.25
