,name,sportsref_url,school,avg_min,avg_pts,total_min,total_pts,transfer
0,Zia Cooke,https://www.sports-reference.com/cbb/players/zia-cooke-1.html,South Carolina,26.7,15.4,987,569,False
1,Aliyah Boston,https://www.sports-reference.com/cbb/players/aliyah-boston-1.html,South Carolina,26.2,13.0,969,482,False
2,Kamilla Cardoso,https://www.sports-reference.com/cbb/players/kamilla-cardoso-1.html,South Carolina,18.8,9.8,678,353,False
3,Laeticia Amihere,https://www.sports-reference.com/cbb/players/laeticia-amihere-1.html,South Carolina,15.9,7.1,573,255,False
4,Brea Beal,https://www.sports-reference.com/cbb/players/brea-beal-1.html,South Carolina,25.2,6.4,934,238,False
5,Bree Hall,https://www.sports-reference.com/cbb/players/bree-hall-1.html,South Carolina,13.9,5.0,487,174,False
6,Sania Feagin,https://www.sports-reference.com/cbb/players/sania-feagin-1.html,South Carolina,7.9,4.9,213,131,False
7,Victaria Saxton,https://www.sports-reference.com/cbb/players/victaria-saxton-1.html,South Carolina,16.1,4.9,596,182,False
8,Ashlyn Watkins,https://www.sports-reference.com/cbb/players/ashlyn-watkins-1.html,South Carolina,10.7,4.9,342,158,False
9,Kierra Fletcher,https://www.sports-reference.com/cbb/players/kierra-fletcher-1.html,South Carolina,15.9,4.4,574,160,False
10,Raven Johnson,https://www.sports-reference.com/cbb/players/raven-johnson-3.html,South Carolina,18.7,4.2,674,151,False
11,Talaysia Cooper,https://www.sports-reference.com/cbb/players/talaysia-cooper-1.html,South Carolina,8.4,2.9,201,69,False
12,Chloe Kitts,https://www.sports-reference.com/cbb/players/chloe-kitts-1.html,South Carolina,6.9,1.6,124,29,False
13,Olivia Thompson,https://www.sports-reference.com/cbb/players/olivia-thompson-1.html,South Carolina,3.9,0.8,98,21,False
14,Camille Downs,https://www.sports-reference.com/cbb/players/camille-downs-1.html,Norfolk State,24.6,11.8,762,365,False
15,Kierra Wheeler,https://www.sports-reference.com/cbb/players/kierra-wheeler-1.html,Norfolk State,26.8,10.9,831,337,False
16,Deja Francis,https://www.sports-reference.com/cbb/players/deja-francis-1.html,Norfolk State,29.7,10.8,890,325,False
17,Niya Fields,https://www.sports-reference.com/cbb/players/niya-fields-1.html,Norfolk State,30.3,6.5,938,203,False
18,Makoye Diawara,https://www.sports-reference.com/cbb/players/makoye-diawara-1.html,Norfolk State,23.9,5.9,766,189,False
