,school,sportsref_url,percent_minutes_return_21_22,percent_scoring_return_21_22,num_transfers,avg_transfer_mins_p_game,avg_transfer_pts_p_game,avg_transfer_mins_total,avg_transfer_pts_total,round
0,South Carolina,https://www.sports-reference.com/cbb/schools/south-carolina/women/2023.html,69.8,74.1,0,0.0,0.0,0.0,0.0,4
1,Norfolk State,https://www.sports-reference.com/cbb/schools/norfolk-state/women/2023.html,77.1,81.2,1,9.4,2.5,151.0,40.0,64
2,South Florida,https://www.sports-reference.com/cbb/schools/south-florida/women/2023.html,36.6,48.3,2,19.3,7.8,608.0,266.0,32
3,Marquette,https://www.sports-reference.com/cbb/schools/marquette/women/2023.html,57.3,50.4,1,15.3,3.1,412.0,85.0,64
4,Oklahoma,https://www.sports-reference.com/cbb/schools/oklahoma/women/2023.html,79.7,85.1,1,15.8,6.1,521.0,202.0,32
5,Portland,https://www.sports-reference.com/cbb/schools/portland/women/2023.html,79.8,81.0,0,0.0,0.0,0.0,0.0,64
6,UCLA,https://www.sports-reference.com/cbb/schools/ucla/women/2023.html,30.8,33.0,0,0.0,0.0,0.0,0.0,16
7,Sacramento State,https://www.sports-reference.com/cbb/schools/sacramento-state/women/2023.html,37.7,36.4,4,21.95,8.975,679.75,284.0,64
8,Creighton,https://www.sports-reference.com/cbb/schools/creighton/women/2023.html,76.2,84.0,0,0.0,0.0,0.0,0.0,64
9,Mississippi State,https://www.sports-reference.com/cbb/schools/mississippi-state/women/2023.html,45.8,50.7,4,19.525,6.5,596.5,199.5,32
10,Notre Dame,https://www.sports-reference.com/cbb/schools/notre-dame/women/2023.html,64.2,66.2,2,22.5,7.9,690.0,239.5,16
11,Southern Utah,https://www.sports-reference.com/cbb/schools/southern-utah/women/2023.html,61.5,58.0,2,26.35,11.55,721.5,310.5,64
12,Arizona,https://www.sports-reference.com/cbb/schools/arizona/women/2023.html,39.3,47.3,3,24.16666667,8.266666667,774.0,265.0,32
13,West Virginia,https://www.sports-reference.com/cbb/schools/west-virginia/women/2023.html,49.8,41.1,5,18.34,4.5,559.4,137.0,64
14,Maryland,https://www.sports-reference.com/cbb/schools/maryland/women/2023.html,27.3,24.2,4,24.55,8.45,858.75,296.0,8
